School,OSRS,DSRS,SRS,Conference,Conf_Champ,Class
Alabama,9.34,14.38,23.72,10,1,1
Ohio State,6.45,14.28,20.73,8,0,0
Clemson,12.53,6.35,18.88,6,1,0
Stanford,12.14,6.67,18.81,9,1,0
Oklahoma,8.23,9.6,17.84,7,1,0
Michigan,4.17,12.17,16.34,6,0,0
Michigan State,4.5,10.87,15.36,6,1,0
LSU,6.61,8.44,15.04,10,0,0
Ole Miss,8.16,6.25,14.42,10,0,0
Notre Dame,10.99,3.33,14.33,0,0,0
Tennessee,9.07,4.87,13.94,10,0,0
Florida State,4.84,8.75,13.59,6,0,0
Mississippi State,8.45,5.14,13.59,10,0,0
Baylor,12.69,0.39,13.08,7,0,0
Arkansas,11.32,1.47,12.79,10,0,0
North Carolina,10.46,2.27,12.73,6,0,0
Houston,8.01,4.31,12.32,5,1,0
USC,4.68,6.85,11.53,9,0,0
Texas Christian,8.94,2.46,11.39,7,0,0
Utah,3.23,8.16,11.39,9,0,0
Navy,5.86,5.29,11.14,5,0,0
Oregon,18.61,-7.56,11.05,9,0,0
Wisconsin,-1.85,12.7,10.85,6,0,0
Iowa,3.7,7.1,10.8,6,0,0
Toledo,3.84,6.32,10.16,3,0,0
